; Format of file: All four fields must be present on every functional
; line. Hence `void' for no-operand instructions, and `\0' for such
; as EQU. If the last three fields are all `ignore', no action is
; taken except to register the opcode as being present.
;
; For a detailed description of the code string (third field), please
; see insns.pl and the comment at the top of assemble.c. For a detailed
; description of the flags (fourth field), please see insns-iflags.ph.
;
; Comments with a pound sign after the semicolon generate section
; subheaders in the NASM documentation.
;

;# Special instructions (pseudo-ops)
; These MUST be first in this file and must maintain the pattern of
; Dx by size, RESx by size, and INCBIN in that order.
DB		    ignore				ignore						ignore
DW		    ignore				ignore						ignore
DD		    ignore				ignore						ignore
DQ		    ignore				ignore						ignore
DT		    ignore				ignore						ignore
DO		    ignore				ignore						ignore
DY		    ignore				ignore						ignore
DZ  		ignore				ignore						ignore
RESB		imm				[	resb]					    8086
RESW		imm				[	resb]					    8086
RESD		imm				[	resb]					    8086
RESQ		imm				[	resb]					    8086
REST		imm				[	resb]					    8086
RESO		imm				[	resb]					    8086
RESY		imm				[	resb]					    8086
RESZ		imm				[	resb]					    8086
INCBIN		ignore				ignore						ignore


;# Systematic names for the hinting nop instructions
; These should be last in the file
HINT_NOP0    rm16                |  [m:    o16 0f 18 /0] |                P6,UNDOC
HINT_NOP0    rm32                |  [m:    o32 0f 18 /0] |                P6,UNDOC
HINT_NOP0    rm64                |  [m:    o64 0f 18 /0] |                X64,UNDOC
HINT_NOP1    rm16                |  [m:    o16 0f 18 /1] |                P6,UNDOC
HINT_NOP1    rm32                |  [m:    o32 0f 18 /1] |                P6,UNDOC
HINT_NOP1    rm64                |  [m:    o64 0f 18 /1] |                X64,UNDOC
HINT_NOP2    rm16                |  [m:    o16 0f 18 /2] |                P6,UNDOC
HINT_NOP2    rm32                |  [m:    o32 0f 18 /2] |                P6,UNDOC
HINT_NOP2    rm64                |  [m:    o64 0f 18 /2] |                X64,UNDOC
HINT_NOP3    rm16                |  [m:    o16 0f 18 /3] |                P6,UNDOC
HINT_NOP3    rm32                |  [m:    o32 0f 18 /3] |                P6,UNDOC
HINT_NOP3    rm64                |  [m:    o64 0f 18 /3] |                X64,UNDOC
HINT_NOP4    rm16                |  [m:    o16 0f 18 /4] |                P6,UNDOC
HINT_NOP4    rm32                |  [m:    o32 0f 18 /4] |                P6,UNDOC
HINT_NOP4    rm64                |  [m:    o64 0f 18 /4] |                X64,UNDOC
HINT_NOP5    rm16                |  [m:    o16 0f 18 /5] |                P6,UNDOC
HINT_NOP5    rm32                |  [m:    o32 0f 18 /5] |                P6,UNDOC
HINT_NOP5    rm64                |  [m:    o64 0f 18 /5] |                X64,UNDOC
HINT_NOP6    rm16                |  [m:    o16 0f 18 /6] |                P6,UNDOC
HINT_NOP6    rm32                |  [m:    o32 0f 18 /6] |                P6,UNDOC
HINT_NOP6    rm64                |  [m:    o64 0f 18 /6] |                X64,UNDOC
HINT_NOP7    rm16                |  [m:    o16 0f 18 /7] |                P6,UNDOC
HINT_NOP7    rm32                |  [m:    o32 0f 18 /7] |                P6,UNDOC
HINT_NOP7    rm64                |  [m:    o64 0f 18 /7] |                X64,UNDOC
HINT_NOP8    rm16                |  [m:    o16 0f 19 /0] |                P6,UNDOC
HINT_NOP8    rm32                |  [m:    o32 0f 19 /0] |                P6,UNDOC
HINT_NOP8    rm64                |  [m:    o64 0f 19 /0] |                X64,UNDOC
HINT_NOP9    rm16                |  [m:    o16 0f 19 /1] |                P6,UNDOC
HINT_NOP9    rm32                |  [m:    o32 0f 19 /1] |                P6,UNDOC
HINT_NOP9    rm64                |  [m:    o64 0f 19 /1] |                X64,UNDOC
HINT_NOP10    rm16                |  [m:    o16 0f 19 /2] |                P6,UNDOC
HINT_NOP10    rm32                |  [m:    o32 0f 19 /2] |                P6,UNDOC
HINT_NOP10    rm64                |  [m:    o64 0f 19 /2] |                X64,UNDOC
HINT_NOP11    rm16                |  [m:    o16 0f 19 /3] |                P6,UNDOC
HINT_NOP11    rm32                |  [m:    o32 0f 19 /3] |                P6,UNDOC
HINT_NOP11    rm64                |  [m:    o64 0f 19 /3] |                X64,UNDOC
HINT_NOP12    rm16                |  [m:    o16 0f 19 /4] |                P6,UNDOC
HINT_NOP12    rm32                |  [m:    o32 0f 19 /4] |                P6,UNDOC
HINT_NOP12    rm64                |  [m:    o64 0f 19 /4] |                X64,UNDOC
HINT_NOP13    rm16                |  [m:    o16 0f 19 /5] |                P6,UNDOC
HINT_NOP13    rm32                |  [m:    o32 0f 19 /5] |                P6,UNDOC
HINT_NOP13    rm64                |  [m:    o64 0f 19 /5] |                X64,UNDOC
HINT_NOP14    rm16                |  [m:    o16 0f 19 /6] |                P6,UNDOC
HINT_NOP14    rm32                |  [m:    o32 0f 19 /6] |                P6,UNDOC
HINT_NOP14    rm64                |  [m:    o64 0f 19 /6] |                X64,UNDOC
HINT_NOP15    rm16                |  [m:    o16 0f 19 /7] |                P6,UNDOC
HINT_NOP15    rm32                |  [m:    o32 0f 19 /7] |                P6,UNDOC
HINT_NOP15    rm64                |  [m:    o64 0f 19 /7] |                X64,UNDOC
HINT_NOP16    rm16                |  [m:    o16 0f 1a /0] |                P6,UNDOC
HINT_NOP16    rm32                |  [m:    o32 0f 1a /0] |                P6,UNDOC
HINT_NOP16    rm64                |  [m:    o64 0f 1a /0] |                X64,UNDOC
HINT_NOP17    rm16                |  [m:    o16 0f 1a /1] |                P6,UNDOC
HINT_NOP17    rm32                |  [m:    o32 0f 1a /1] |                P6,UNDOC
HINT_NOP17    rm64                |  [m:    o64 0f 1a /1] |                X64,UNDOC
HINT_NOP18    rm16                |  [m:    o16 0f 1a /2] |                P6,UNDOC
HINT_NOP18    rm32                |  [m:    o32 0f 1a /2] |                P6,UNDOC
HINT_NOP18    rm64                |  [m:    o64 0f 1a /2] |                X64,UNDOC
HINT_NOP19    rm16                |  [m:    o16 0f 1a /3] |                P6,UNDOC
HINT_NOP19    rm32                |  [m:    o32 0f 1a /3] |                P6,UNDOC
HINT_NOP19    rm64                |  [m:    o64 0f 1a /3] |                X64,UNDOC
HINT_NOP20    rm16                |  [m:    o16 0f 1a /4] |                P6,UNDOC
HINT_NOP20    rm32                |  [m:    o32 0f 1a /4] |                P6,UNDOC
HINT_NOP20    rm64                |  [m:    o64 0f 1a /4] |                X64,UNDOC
HINT_NOP21    rm16                |  [m:    o16 0f 1a /5] |                P6,UNDOC
HINT_NOP21    rm32                |  [m:    o32 0f 1a /5] |                P6,UNDOC
HINT_NOP21    rm64                |  [m:    o64 0f 1a /5] |                X64,UNDOC
HINT_NOP22    rm16                |  [m:    o16 0f 1a /6] |                P6,UNDOC
HINT_NOP22    rm32                |  [m:    o32 0f 1a /6] |                P6,UNDOC
HINT_NOP22    rm64                |  [m:    o64 0f 1a /6] |                X64,UNDOC
HINT_NOP23    rm16                |  [m:    o16 0f 1a /7] |                P6,UNDOC
HINT_NOP23    rm32                |  [m:    o32 0f 1a /7] |                P6,UNDOC
HINT_NOP23    rm64                |  [m:    o64 0f 1a /7] |                X64,UNDOC
HINT_NOP24    rm16                |  [m:    o16 0f 1b /0] |                P6,UNDOC
HINT_NOP24    rm32                |  [m:    o32 0f 1b /0] |                P6,UNDOC
HINT_NOP24    rm64                |  [m:    o64 0f 1b /0] |                X64,UNDOC
HINT_NOP25    rm16                |  [m:    o16 0f 1b /1] |                P6,UNDOC
HINT_NOP25    rm32                |  [m:    o32 0f 1b /1] |                P6,UNDOC
HINT_NOP25    rm64                |  [m:    o64 0f 1b /1] |                X64,UNDOC
HINT_NOP26    rm16                |  [m:    o16 0f 1b /2] |                P6,UNDOC
HINT_NOP26    rm32                |  [m:    o32 0f 1b /2] |                P6,UNDOC
HINT_NOP26    rm64                |  [m:    o64 0f 1b /2] |                X64,UNDOC
HINT_NOP27    rm16                |  [m:    o16 0f 1b /3] |                P6,UNDOC
HINT_NOP27    rm32                |  [m:    o32 0f 1b /3] |                P6,UNDOC
HINT_NOP27    rm64                |  [m:    o64 0f 1b /3] |                X64,UNDOC
HINT_NOP28    rm16                |  [m:    o16 0f 1b /4] |                P6,UNDOC
