# Derived from CSV data at  http://golang.org/x/arch/x86
| Instruction                             | OpCode                            | Valid32BitOp | Valid64BitOp | CPUID                  | Info                              | ReadWriteActions | OperandSizeDistinguished | OpBitSize |
| AAA                                     | 37                                | V            | I            |                        |                                   |                  |                          |           |
| AAD                                     | D5 0A                             | V            | I            |                        | pseudo                            |                  |                          |           |
| AAD imm8                                | D5 ib                             | V            | I            |                        |                                   | r                |                          |           |
| AAM                                     | D4 0A                             | V            | I            |                        | pseudo                            |                  |                          |           |
| AAM imm8                                | D4 ib                             | V            | I            |                        |                                   | r                |                          |           |
| AAS                                     | 3F                                | V            | I            |                        |                                   |                  |                          |           |
| ADC AL, imm8                            | 14 ib                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADC AX, imm16                           | 15 iw                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADC EAX, imm32                          | 15 id                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADC RAX, imm32                          | REX.W 15 id                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADC r/m16, imm16                        | 81 /2 iw                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADC r/m16, imm8                         | 83 /2 ib                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADC r/m16, r16                          | 11 /r                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADC r/m32, imm32                        | 81 /2 id                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADC r/m32, imm8                         | 83 /2 ib                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADC r/m32, r32                          | 11 /r                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADC r/m64, imm32                        | REX.W 81 /2 id                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADC r/m64, imm8                         | REX.W 83 /2 ib                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADC r/m64, r64                          | REX.W 11 /r                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADC r/m8, imm8                          | 80 /2 ib                          | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADC r/m8, imm8                          | REX 80 /2 ib                      | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| ADC r/m8, r8                            | 10 /r                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADC r/m8, r8                            | REX 10 /r                         | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| ADC r16, r/m16                          | 13 /r                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADC r32, r/m32                          | 13 /r                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADC r64, r/m64                          | REX.W 13 /r                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADC r8, r/m8                            | 12 /r                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADC r8, r/m8                            | REX 12 /r                         | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| ADCX r32, r/m32                         | 66 0F 38 F6 /r                    | V            | V            | ADX                    | operand16,operand32               | rw,r             | Y                        | 32        |
| ADCX r64, r/m64                         | 66 REX.W 0F 38 F6 /r              | N.E.         | V            | ADX                    |                                   | rw,r             | Y                        | 64        |
| ADD AL, imm8                            | 04 ib                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADD AX, imm16                           | 05 iw                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADD EAX, imm32                          | 05 id                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADD RAX, imm32                          | REX.W 05 id                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADD r/m16, imm16                        | 81 /0 iw                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADD r/m16, imm8                         | 83 /0 ib                          | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADD r/m16, r16                          | 01 /r                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADD r/m32, imm32                        | 81 /0 id                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADD r/m32, imm8                         | 83 /0 ib                          | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADD r/m32, r32                          | 01 /r                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADD r/m64, imm32                        | REX.W 81 /0 id                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADD r/m64, imm8                         | REX.W 83 /0 ib                    | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADD r/m64, r64                          | REX.W 01 /r                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADD r/m8, imm8                          | 80 /0 ib                          | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADD r/m8, imm8                          | REX 80 /0 ib                      | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| ADD r/m8, r8                            | 00 /r                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADD r/m8, r8                            | REX 00 /r                         | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| ADD r16, r/m16                          | 03 /r                             | V            | V            |                        | operand16                         | rw,r             | Y                        | 16        |
| ADD r32, r/m32                          | 03 /r                             | V            | V            |                        | operand32                         | rw,r             | Y                        | 32        |
| ADD r64, r/m64                          | REX.W 03 /r                       | N.E.         | V            |                        |                                   | rw,r             | Y                        | 64        |
| ADD r8, r/m8                            | 02 /r                             | V            | V            |                        |                                   | rw,r             | Y                        | 8         |
| ADD r8, r/m8                            | REX 02 /r                         | N.E.         | V            |                        | pseudo64                          | rw,r             | Y                        | 8         |
| ADDPD xmm1, xmm2/m128                   | 66 0F 58 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| ADDPS xmm1, xmm2/m128                   | 0F 58 /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| ADDSD xmm1, xmm2/m64                    | F2 0F 58 /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| ADDSS xmm1, xmm2/m32                    | F3 0F 58 /r                       | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| ADDSUBPD xmm1, xmm2/m128                | 66 0F D0 /r                       | V            | V            | SSE3                   |                                   | rw,r             |                          |           |
| ADDSUBPS xmm1, xmm2/m128                | F2 0F D0 /r                       | V            | V            | SSE3                   |                                   | rw,r             |                          |           |
| ADOX r32, r/m32                         | F3 0F 38 F6 /r                    | V            | V            | ADX                    | operand16,operand32               | rw,r             | Y                        | 32        |
| ADOX r64, r/m64                         | F3 REX.W 0F 38 F6 /r              | N.E.         | V            | ADX                    |                                   | rw,r             | Y                        | 64        |
| AESDEC xmm1, xmm2/m128                  | 66 0F 38 DE /r                    | V            | V            | AES                    |                                   | rw,r             |                          |           |
| AESDECLAST xmm1, xmm2/m128              | 66 0F 38 DF /r                    | V            | V            | AES                    |                                   | rw,r             |                          |           |
| AESENC xmm1, xmm2/m128                  | 66 0F 38 DC /r                    | V            | V            | AES                    |                                   | rw,r             |                          |           |
| AESENCLAST xmm1, xmm2/m128              | 66 0F 38 DD /r                    | V            | V            | AES                    |                                   | rw,r             |                          |           |
| AESIMC xmm1, xmm2/m128                  | 66 0F 38 DB /r                    | V            | V            | AES                    |                                   | w,r              |                          |           |
